,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL
2016-06-27,0.0970456,25.5319187,334782.507,306554.56,1249147.147,2291,-107,-107,93.0,21.4535,-3180.0135,-1698,80,80,146.18,25.72,5253.9,594,79,79,671.0,70.9025,-3871.7625,-1474,152,152,39.58,23.788,2768.332
2016-06-24,0.38162195,25.4348731,343379.971,332711.04,1247802.511,2398,27,27,92.91,4.104,-6392.574,-1778,-4,-4,149.97,0.976,15552.784,515,69,69,675.17,58.4775,-11940.9275,-1626,-42,-42,40.63,6.363,6596.937
2016-06-23,-0.4212286,25.05325115,373380.6515,341140.14,1255407.9115,2371,-80,-80,95.94,14.16,1321.09,-1774,136,136,153.45,30.192,-4413.092,446,77,77,697.45,37.653,1929.977,-1584,238,238,43.51,33.201,-3050.261
2016-06-22,0.20564785,25.47447975,389485.8875,371771.64,1252813.3175,2451,-75,-75,96.25,13.7625,-870.6225,-1910,56,56,153.75,8.064,2167.036,369,60,60,699.06,38.28,335.4,-1822,145,145,42.87,19.865,424.665
2016-06-21,0.11832055,25.2688319,406672.239,387993.95,1251980.309,2526,-22,-22,94.94,3.894,2038.646,-1966,88,88,154.16,18.26,-931.7,309,57,57,698.4,31.5495,390.1905,-1967,146,146,43.17,23.871,-313.931
2016-06-20,-0.47423925,25.15051135,429783.9735,405271.38,1252185.0735,2548,-79,-79,96.0,13.2325,-546.3425,-2054,116,116,152.6,23.896,-3422.136,252,38,38,698.77,42.503,191.077,-2113,258,258,43.46,35.991,-964.991
2016-06-17,-1.2817719,25.6247506,431909.016,428208.44,1258577.446,2627,-6,-6,96.62,1.104,-5838.624,-2170,-13,-13,150.96,2.795,-2022.195,214,-10,-10,708.65,7.695,-4013.755,-2371,190,190,42.44,28.785,-943.145
2016-06-16,-0.20519355,26.9065225,425755.095,430523.04,1272247.925,2633,110,110,96.45,18.59,1136.84,-2157,-83,-83,150.19,13.2385,-873.5685,224,-30,-30,714.91,11.505,-2049.245,-2561,62,62,41.61,9.052,-265.962
2016-06-15,-0.000891199999999,27.11171605,415967.9305,425080.94,1268738.7705,2523,58,58,97.82,10.817,-839.057,-2074,-85,-85,151.46,14.4075,807.7125,254,-29,-29,719.0,16.4575,169.8125,-2623,30,30,42.3,6.03,-147.38
2016-06-14,0.373078,27.11260725,409232.9025,415081.04,1267823.2525,2465,92,92,97.32,18.492,279.148,-1989,-59,-59,151.28,12.449,425.131,283,-54,-54,716.48,29.511,-156.501,-2653,23,23,43.04,3.358,3183.002
2016-06-13,-0.0280285,26.73952925,385127.9525,408329.38,1266532.4725,2373,172,172,98.69,24.682,-3536.372,-1930,-142,-142,151.63,24.637,1973.983,337,-62,-62,716.51,35.526,-569.176,-2676,-160,-160,43.23,21.76,1851.28
2016-06-10,-0.11427305,26.76755775,376852.4375,384571.84,1265993.6975,2201,117,117,98.53,20.6505,-1694.4305,-1788,-44,-44,152.79,6.666,1843.014,399,-36,-36,719.47,16.56,-4003.35,-2516,-93,-93,44.27,11.904,2712.036
2016-06-09,0.3772101,26.8818308,368511.878,376163.62,1269278.398,2084,201,201,98.5,28.944,1539.136,-1744,-51,-51,152.92,7.7775,948.6625,435,-25,-25,722.87,12.4875,-17.2375,-2423,-61,-61,45.18,7.93,1301.54
2016-06-08,0.3925755,26.5046207,377368.007,367350.05,1266030.877,1883,126,126,99.02,18.333,-186.543,-1693,41,41,153.53,6.7035,-1149.2135,460,5,5,723.96,1.8575,5311.3925,-2362,38,38,45.48,4.921,-49.881
2016-06-07,-0.00916535,26.1120452,383548.132,376335.54,1259955.132,1757,133,133,99.25,42.161,578.179,-1734,25,25,153.31,4.5125,-1059.4125,455,26,26,719.84,15.99,-56.03,-2400,76,76,46.04,11.59,445.61
2016-06-06,-0.2203592,26.12121055,412199.4455,381670.95,1261445.4655,1624,35,35,97.99,4.935,1145.655,-1759,142,142,153.09,23.714,229.326,429,62,62,724.91,33.883,-2677.133,-2476,208,208,45.39,34.84,-901.44
2016-06-03,0.29491725,26.34156975,433617.4075,410787.64,1265098.7075,1589,75,75,97.79,12.0375,300.5125,-1901,90,90,152.4,15.21,1243.4,367,46,46,729.27,24.955,-2930.995,-2684,55,55,45.11,6.765,4336.255
2016-06-02,-0.42919005,26.0466525,448016.915,432156.23,1262579.625,1514,96,96,97.6,15.408,-1053.208,-1991,60,60,152.59,11.19,-1987.08,321,39,39,732.5,16.6725,-1156.0725,-2739,140,140,46.86,24.57,-95.54
2016-06-01,-0.0749253,26.47584255,473345.7955,446352.16,1266344.5355,1418,109,109,99.02,19.511,-1913.151,-2051,146,146,153.0,25.842,2604.928,282,77,77,734.53,40.3095,-391.4195,-2879,39,39,46.04,5.0505,-1049.6105
2016-05-31,-0.19389025,26.55076785,513686.0585,471970.16,1267195.5585,1309,102,102,99.6,16.473,-581.383,-2197,216,216,152.56,30.024,-1946.844,205,70,70,731.74,41.79,649.91,-2918,209,209,46.88,27.0655,-60.5855
2016-05-27,-0.1263537,26.7446581,537447.551,512213.03,1269692.131,1207,187,187,99.44,38.2415,70.7285,-2413,146,146,152.35,25.258,-977.318,135,80,80,724.01,40.2,1121.5,-3127,31,31,46.24,4.7275,-1478.4475
2016-05-26,0.149566,26.8710118,589437.118,536368.77,1268050.688,1020,180,180,99.68,32.67,762.33,-2559,221,221,151.55,61.7695,-1950.0795,55,85,85,722.87,41.6925,99.0575,-3158,136,136,47.04,23.188,2584.352
2016-05-25,-1.19077585,26.7214458,606014.198,587798.06,1277493.058,840,228,228,98.67,37.05,1232.19,-2780,-19,-19,148.93,3.6765,-9388.2965,-30,56,56,720.76,45.108,-238.028,-3294,-236,-236,46.19,33.984,-3513.624
2016-05-24,-0.7372607,27.91222165,620235.4665,605311.74,1285462.0065,612,229,229,97.22,40.304,678.426,-2761,-123,-123,146.88,20.2335,-4258.6435,-86,65,65,706.86,30.225,-1563.625,-3058,-309,-309,45.45,40.3245,-2228.7645
2016-05-23,0.18739155,28.64948235,628341.3035,619373.86,1284647.8535,383,195,195,95.87,28.3725,308.3075,-2638,-27,-27,147.61,5.346,1270.614,-151,44,44,706.53,35.332,936.408,-2749,-328,-328,44.85,47.724,-641.414
2016-05-20,-0.7432087,28.4620908,643838.438,627226.53,1288966.328,188,196,196,94.64,30.086,75.434,-2611,-88,-88,145.71,21.868,-6010.748,-195,56,56,701.62,31.36,-1941.06,-2421,-302,-302,45.42,51.793,444.287
2016-05-19,0.9091617,29.2052995,643237.605,643244.92,1286482.525,-8,201,201,94.64,33.366,-46.566,-2523,-229,-229,146.48,47.632,5835.858,-251,36,36,702.36,23.346,1714.184,-2119,-262,-262,45.6,57.509,1588.141
2016-05-18,-0.3027867,28.2961378,643974.698,642365.54,1286340.238,-209,167,167,94.16,30.8115,-366.3315,-2294,-138,-138,147.99,29.049,1483.611,-287,13,13,703.67,12.6165,-94.1365,-1857,-205,-205,43.75,31.57,-4051.01
2016-05-17,0.52444335,28.5989245,637898.485,643196.2,1281094.685,-376,150,150,94.55,35.55,10.59,-2156,-81,-81,149.21,18.4275,3109.0825,-300,10,10,715.99,7.415,3075.585,-1652,-203,-203,43.07,25.984,-950.824
2016-05-16,-0.75321635,28.07448115,650356.2815,637267.58,1287623.8615,-526,152,152,92.39,27.892,-2079.492,-2075,-78,-78,147.65,17.316,-3633.276,-310,21,21,709.13,9.87,-1728.77,-1449,-183,-183,43.11,32.6655,-90.6255
2016-05-13,0.39973795,28.8276975,635546.085,649481.14,1285027.225,-678,64,64,90.0,16.992,-117.272,-1997,-114,-114,148.79,24.396,2206.544,-331,1,1,711.93,0.6125,821.6475,-1266,-212,-212,43.98,36.04,1086.46
2016-05-12,0.29361715,28.42795955,644600.6155,635085.95,1279686.5655,-742,94,94,92.72,14.617,1575.783,-1883,-41,-41,149.21,8.9175,208.8725,-332,12,12,717.06,8.208,627.912,-1054,-126,-126,44.84,18.396,523.604
2016-05-11,0.5623227,28.1343424,631950.364,644212.62,1276162.984,-836,58,58,93.48,10.034,747.246,-1842,-34,-34,149.71,7.31,1862.69,-344,-3,-3,723.41,1.467,2713.383,-928,-136,-136,44.66,18.972,299.908
2016-05-10,-0.9730791,27.5720197,650533.157,630983.97,1281517.127,-894,90,90,93.33,14.31,-626.13,-1808,68,68,148.24,10.846,-4827.086,-341,10,10,716.75,5.355,-3549.335,-792,-80,-80,44.34,11.84,-728.24
2016-05-09,-0.0454735,28.5450988,634527.928,650057.92,1284585.848,-984,27,27,93.0,4.86,-81.3,-1876,-23,-23,147.7,6.325,-90.695,-351,0,0,712.0,0.0,-624.78,-712,-120,-120,44.31,16.2,342.04
2016-05-06,-0.44873195,28.5905723,660688.753,633889.55,1294578.303,-1011,73,73,93.37,12.3735,503.8565,-1853,12,12,144.86,2.31,-1502.45,-351,28,28,698.38,12.04,-3327.83,-592,-96,-96,43.81,14.016,-160.896
2016-05-05,-0.49308795,29.03930425,630947.9425,660731.93,1291679.8725,-1084,-47,-47,94.0,9.588,1011.282,-1865,-105,-105,145.95,19.3725,-3981.1725,-379,0,0,697.7,0.0,-2171.67,-496,-113,-113,44.78,16.159,210.681
2016-05-04,-0.0106405,29.5323922,667812.532,629920.75,1297733.282,-1037,79,79,95.2,16.037,1009.013,-1760,40,40,143.36,8.0,-188.4,-379,34,34,690.49,13.328,-1215.608,-383,-72,-72,44.88,10.26,288.59
2016-05-03,0.28207985,29.5430327,626124.197,667538.98,1293663.177,-1116,-48,-48,94.2,8.832,-1700.592,-1800,-171,-171,144.65,39.0735,1906.9065,-413,-17,-17,696.87,9.894,2383.376,-311,-108,-108,45.77,15.822,231.108
2016-05-02,-0.12445925,29.26095285,665619.8385,624804.62,1290424.4585,-1068,84,84,93.96,17.682,70.638,-1629,61,61,146.56,15.7075,1037.9025,-396,43,43,697.63,22.833,-2280.693,-203,-73,-73,46.54,10.22,-72.44
2016-04-29,0.20251575,29.3854121,628510.031,665109.48,1293619.511,-1152,-93,-93,93.99,26.1795,1151.3805,-1690,-171,-171,146.49,46.683,1763.837,-439,-23,-23,690.7,30.613,-911.583,-130,-103,-103,46.52,15.347,21.523
2016-04-28,1.4395809,29.18289635,650901.8335,626738.73,1277640.5635,-1059,73,73,97.61,18.3595,3163.3805,-1519,43,43,149.75,8.1915,5187.3685,-416,20,20,708.26,18.61,6098.11,-27,-100,-100,46.79,15.25,-53.05
2016-04-27,0.4839519,27.74331545,626820.4045,650335.14,1280610.6345,-1132,-157,-157,96.0,26.6115,6054.3985,-1562,-73,-73,149.35,14.1985,-2165.6685,-436,-19,-19,707.29,23.503,963.147,73,-84,-84,46.89,11.508,-12.358
2016-04-26,0.65669035,27.25936355,633910.2055,625152.24,1266457.1455,-975,-17,-17,103.91,2.669,689.191,-1489,35,35,148.65,6.6325,-403.0625,-417,12,12,725.42,6.204,6225.726,157,-78,-78,46.71,10.881,55.049
2016-04-25,-0.19840115,26.6026732,625553.532,633592.74,1270118.422,-958,-35,-35,105.0,6.755,544.245,-1524,-12,-12,148.16,3.3,-479.82,-429,-14,-14,716.1,17.157,-1933.557,235,-103,-103,46.63,14.0595,-114.8795
2016-04-22,1.7086806,26.80107435,623915.0535,624292.01,1264082.9235,-923,-8,-8,105.01,1.364,258.626,-1512,114,114,149.44,32.262,1161.378,-415,-36,-36,726.3,23.22,15548.09,338,-138,-138,46.69,18.768,118.712
2016-04-21,-0.66716155,25.09239375,611242.6475,622469.05,1255893.2975,-915,1,1,106.93,0.2015,1061.3985,-1626,119,119,146.58,30.94,-5273.81,-379,-35,-35,755.38,17.71,-2374.99,476,-174,-174,46.79,26.274,-84.214
2016-04-20,-0.2715965,25.7595553,618959.983,610133.04,1259474.023,-916,21,21,106.64,3.9585,-199.8085,-1745,157,157,144.24,49.769,-3769.399,-344,-35,-35,758.0,39.4975,536.3925,650,-186,-186,45.74,25.11,716.85
2016-04-19,2.12233655,26.0311518,594295.698,617448.09,1249890.468,-937,-12,-12,107.88,2.406,536.484,-1902,-2,-2,146.47,0.365,16211.575,-309,-41,-41,769.51,26.1375,4010.8825,836,-188,-188,45.42,28.576,464.424
2016-04-18,-0.13634865,23.90881525,601869.9325,592851.53,1240914.1025,-925,-11,-11,108.89,2.5135,2179.1765,-1900,199,199,151.75,31.243,-1576.213,-268,-28,-28,760.46,14.434,-2013.034,1024,-212,-212,44.42,41.976,46.584
2016-04-15,-0.01765765,24.0451639,585040.299,600456.7,1241018.119,-914,-46,-46,112.11,7.038,2049.922,-2099,83,83,151.04,18.177,-1183.657,-240,-32,-32,753.98,10.576,-1377.616,1236,-313,-313,46.45,51.1755,334.7745
2016-04-14,0.0729171,24.06282155,586167.2355,584293.24,1240134.4955,-868,-23,-23,111.62,4.071,-65.811,-2182,202,202,151.5,36.36,61.84,-208,-32,-32,754.01,19.392,-253.952,1549,-468,-468,44.14,92.196,987.094
2016-04-13,-0.1587496,23.98990445,568423.3145,584866.16,1242541.7245,-845,-49,-49,110.8,9.408,-1343.768,-2384,318,318,150.75,56.127,-4226.687,-176,-73,-73,749.16,54.093,-1129.863,2017,-734,-734,42.55,104.228,5112.822
2016-04-12,-0.0806735,24.14865405,560378.6905,567294.86,1242940.4505,-796,-101,-101,109.34,19.089,-1117.089,-2702,319,319,149.61,75.4435,-1217.0435,-103,-63,-63,738.0,34.4925,-634.7625,2751,-819,-819,41.28,114.66,2162.16
2016-04-11,0.2713354,24.22932755,532811.2055,559390.41,1239000.0155,-695,-203,-203,108.97,36.54,-223.81,-3021,186,186,150.26,35.991,96.849,-40,-96,-96,743.02,57.12,436.4,3570,-670,-670,40.74,97.485,2403.915
2016-04-08,-0.21660915,23.95799215,495782.6115,531619.14,1240386.9515,-492,-280,-280,108.91,60.2,-15.64,-3207,-43,-43,149.06,7.74,-3500.61,56,-123,-123,743.97,78.228,312.362,4240,-459,-459,40.86,81.0135,1037.7965
2016-04-07,-0.3360823,24.1746013,422146.883,494966.88,1238852.613,-212,-350,-350,109.95,66.15,93.39,-3164,-351,-351,149.07,76.167,5190.663,179,-129,-129,745.37,81.786,-1091.456,4699,-118,-118,41.3,15.93,-7553.42
2016-04-06,0.3987342,24.5106836,377151.076,421668.7,1245444.396,138,-260,-260,110.23,43.03,224.87,-2813,-330,-330,149.9,65.175,-154.435,308,-78,-78,735.77,36.777,2235.003,4817,-34,-34,41.53,4.726,1681.904
2016-04-05,-0.2344072,24.1119494,331707.924,376000.69,1237568.804,398,-262,-262,109.51,51.352,-994.552,-2483,-312,-312,151.43,56.316,4883.814,386,-88,-88,738.0,54.428,-3587.088,4851,46,46,41.45,6.256,-2646.246
2016-04-04,-0.25718445,24.3463566,283442.296,330730.14,1242877.396,660,-214,-214,110.42,40.66,797.16,-2171,-295,-295,152.34,69.4725,854.3775,474,-81,-81,750.06,62.127,-2239.857,4805,-49,-49,42.36,8.085,-1983.525
2016-04-01,0.4253327,24.60354105,248968.7205,282356.76,1249806.1705,874,-191,-191,108.78,28.841,805.049,-1876,-221,-221,150.51,63.427,-2278.487,555,-65,-65,738.6,38.7075,2301.3425,4854,-189,-189,41.52,25.9875,3425.4225
2016-03-31,-0.96043535,24.17820835,208138.3335,247902.45,1244529.3835,1065,-182,-182,109.72,34.762,-612.692,-1655,-277,-277,149.79,56.6465,-4705.5865,620,-86,-86,749.25,47.902,-3617.582,5043,-69,-69,41.83,9.453,-668.493
2016-03-30,0.9147757,25.1386437,162047.157,206631.1,1249264.317,1247,-196,-196,108.65,48.118,2486.362,-1378,-292,-292,149.95,62.196,1386.604,706,-90,-90,750.1,92.205,4454.055,5112,-22,-22,41.98,2.904,820.736
2016-03-29,1.01559495,24.223868,121435.94,160282.74,1244128.32,1443,-147,-147,104.89,23.0055,3525.9645,-1086,-270,-270,147.59,46.17,-1274.85,796,-70,-70,734.59,29.715,8991.525,5134,-226,-226,41.78,28.25,-1086.69
2016-03-28,-0.27959385,23.20827305,84868.8505,120564.0,1232613.1305,1590,-136,-136,106.0,22.848,-741.168,-816,-239,-239,147.75,68.4735,-483.4735,866,-64,-64,736.79,28.0,-1465.46,5360,-94,-94,42.1,13.677,-105.837
2016-03-24,-0.77529455,23.4878669,57982.719,83653.46,1236592.359,1726,-104,-104,105.47,16.484,-879.084,-577,-196,-196,144.98,48.02,-1601.69,930,-61,-61,732.01,35.2885,-2971.1385,5454,103,103,41.78,16.583,-2301.033
2016-03-23,-0.8161271,24.26316145,32895.7845,56388.0,1241641.0145,1830,-103,-103,106.48,21.012,-1125.432,-381,-166,-166,148.0,28.552,983.548,991,-45,-45,742.36,21.465,-2614.805,5351,2,2,43.28,0.272,-5404.582
2016-03-22,-0.1233548,25.07928855,13222.2055,31832.9,1250801.4855,1933,-83,-83,105.25,18.7165,1492.2335,-215,-138,-138,148.06,27.531,7.759,1036,-35,-35,737.46,19.215,-1569.505,5349,71,71,43.27,10.6855,-1164.0355
2016-03-21,0.49784755,25.20264335,2372.9935,11342.1,1252128.8435,2016,-71,-71,105.93,11.7505,-31.2005,-77,-133,-133,147.3,26.6,-117.25,1071,4,4,736.5,2.434,4810.756,5278,20,20,43.43,2.71,316.17
2016-03-18,0.35595635,24.7047958,1803.358,0.0,1247047.958,2087,-50,-50,106.34,8.775,268.665,56,-149,-149,147.4,36.2815,20.1585,1067,40,40,741.86,18.14,-373.4,5258,-40,-40,43.43,7.08,3644.14
2016-03-17,0.49176015,24.34883945,2531.2345,0.0,1243488.3945,2137,-149,-149,105.52,27.714,-458.054,205,-156,-156,144.78,37.206,422.484,1027,52,52,736.45,38.896,1678.014,5298,-23,-23,41.99,4.0825,3275.1575
2016-03-16,0.9451758,23.8570793,1660.603,0.0,1238570.793,2286,-137,-137,104.61,22.8105,3158.8395,361,-133,-133,142.62,25.2035,590.2065,975,48,48,726.37,22.848,7637.232,5321,-32,-32,42.13,4.24,-1934.52
2016-03-15,0.2787484,22.9119035,1953.275,0.0,1229119.035,2423,-124,-124,103.96,19.406,5150.534,494,-117,-117,141.74,24.2775,-57.0375,927,38,38,726.92,23.465,-1890.125,5353,45,45,42.26,6.0975,-415.8875
2016-03-14,0.2356999,22.6331551,2076.561,0.0,1226331.551,2547,-52,-52,101.91,7.228,636.792,611,-121,-121,142.01,26.6805,187.5895,889,33,33,726.81,19.47,3243.49,5308,-25,-25,42.66,4.0625,-1710.8725
2016-03-11,2.49571825,22.3974552,2569.702,0.0,1223974.552,2599,-11,-11,102.24,2.2495,2842.4305,732,-94,-94,141.73,25.286,1707.914,856,14,14,720.0,10.556,11872.924,5333,98,98,42.27,17.346,8533.914
2016-03-10,0.74671495,19.90173695,2400.3395,0.0,1199017.3695,2610,7,7,101.41,1.1585,127.3115,826,-107,-107,141.24,26.429,-119.339,842,20,20,708.12,13.68,6311.08,5235,6,6,41.61,0.843,1148.097
2016-03-09,1.11394285,19.155022,2451.7,0.0,1191550.22,2603,-28,-28,101.31,4.704,237.406,933,-92,-92,139.31,22.678,1249.622,822,19,19,698.47,19.4275,9159.0125,5229,62,62,41.36,10.292,493.388
2016-03-08,-1.2331236,18.04107915,2690.8515,0.0,1180410.7915,2631,-31,-31,100.78,5.9985,-2249.8285,1025,-156,-156,139.71,43.992,-1219.632,803,44,44,688.59,51.018,-717.508,5167,-139,-139,42.15,19.8075,-8144.2675
2016-03-07,-1.3385338,19.27420275,2331.8375,0.0,1192742.0275,2662,-55,-55,102.39,12.045,-3080.825,1181,-88,-88,137.28,19.36,2710.23,759,22,22,706.9,13.717,-11865.007,5306,56,56,42.36,8.736,-1149.736
2016-03-04,0.2885904,20.61273655,2597.5655,0.0,1206127.3655,2717,-59,-59,102.37,9.617,4144.383,1269,-86,-86,137.54,16.727,-39.087,737,30,30,714.99,23.145,-1227.855,5250,-93,-93,43.07,13.857,8.463
2016-03-03,0.28354275,20.32414615,2236.8315,0.0,1203241.4615,2776,-23,-23,100.58,3.7375,2074.3525,1355,-73,-73,137.22,22.703,2076.957,707,24,24,718.68,12.0,-4553.93,5343,-89,-89,42.14,14.062,3238.048
2016-03-02,0.850803,20.0406034,3456.794,0.0,1200406.034,2799,-36,-36,100.51,9.63,605.43,1428,0,0,133.7,0.0,2756.04,683,10,10,719.0,10.52,14.9000000001,5432,-120,-120,41.24,25.14,5131.66
2016-03-01,4.3224817,19.1898004,2124.924,0.0,1191898.004,2835,-82,-82,97.65,14.678,10950.442,1428,-49,-49,132.24,10.927,4817.883,673,21,21,703.62,15.9705,14021.0995,5552,1,1,39.15,0.1475,13435.3925
2016-02-29,-1.04588,14.8673187,2494.757,0.0,1148673.187,2917,-47,-47,96.86,8.084,-652.174,1477,-27,-27,132.0,6.7095,-1484.5195,652,15,15,700.32,10.9275,-4699.2775,5551,-63,-63,39.43,10.269,-3622.829
2016-02-26,0.11556235,15.9131987,2435.037,0.0,1159131.987,2964,-77,-77,97.2,13.5135,464.9665,1504,-70,-70,134.51,19.705,-3733.885,637,30,30,708.58,26.1,-544.16,5614,-92,-92,39.06,12.098,4968.702
2016-02-25,1.1401624,15.79763635,3270.2335,0.0,1157976.3635,3041,-104,-104,96.05,26.312,1975.548,1574,-64,-64,133.29,18.592,2688.568,607,28,28,700.01,29.708,3715.022,5706,-44,-44,38.23,7.854,3022.486
2016-02-24,0.6509579,14.65747395,2751.0995,0.0,1146574.7395,3145,-94,-94,93.98,18.565,4349.145,1638,-99,-99,131.55,16.83,554.22,579,26,26,688.92,21.866,2306.404,5750,76,76,37.44,11.97,-700.19
2016-02-23,-2.2719931,14.00651605,1720.1205,0.0,1140065.1605,3239,-158,-158,96.4,23.542,-7192.792,1737,-93,-93,133.14,18.135,-2456.415,553,40,40,701.45,25.46,-5692.39,5674,-4,-4,39.12,0.534,-7378.334
2016-02-22,0.9756373,16.27850915,2076.0915,0.0,1162785.0915,3397,-155,-155,96.31,22.94,2872.39,1830,-126,-126,133.84,30.303,1328.157,513,56,56,707.45,30.884,2450.026,5678,-182,-182,39.67,27.3,3105.8
2016-02-19,0.2391034,15.30287185,2792.8885,0.0,1153028.7185,3552,-156,-156,96.0,37.44,-859.44,1956,-223,-223,132.36,69.6875,1142.5225,457,69,69,695.03,63.204,1723.796,5860,-97,-97,38.82,16.3445,384.1555
2016-02-18,-0.18650075,15.06376845,2678.8145,0.0,1150637.6845,3708,-199,-199,98.84,40.397,-6793.997,2179,-185,-185,130.0,49.21,14508.94,388,65,65,710.0,66.2025,-4457.6025,5957,-64,-64,39.93,8.928,-5122.348
